text,label,timestamp
"Ugh! From the fake smile on his CD single to the Barry Manilow-ish album cover, this guy screams superficiality! Sorry, Clay....you might have been second in American Idol II...but you are NOT Barry Manilow! I just have a problem with someone who has to use a tv show to get noticed instead of using their god-given talents and merits to get to superstardom. It smacks in the face of those who have real talent and are struggling to be heard and appreciated by the music industry and the public. So m",negative,2025-02-01 00:00:00
Yet another awesome season of Weeds. A must have it you have the other 3 seasons.,positive,2025-02-01 00:00:00
"Actually everything in the book IS helpful, and a OK read... but most of the material is FREE on the net already.The stuff from ""The Layguide"" was mirrored on all kinds of websites all over the place before it ever became print. If you search for keywords like ""layguide"" and ""player guide"" on the net, you will find this stuff is basically plagaurized. It was just a compilation of a bunch of usenet posts.Now, if you really want something in print, and original too, do yourself a favor now and go ",negative,2025-02-01 01:00:00
"As other reviewers have pointed out, this particular Kindle version is broken: any passages in the original which appeared in italic type have failed to be transcribed, leaving large gaps in the narrative, especially at the beginning.Therefore I rate this edition one star.",negative,2025-02-01 02:00:00
"A Jesse Stuart Harvest is a collection of stories by Jesse Stuart. All the stories bring out his personality and the talking of the Old West. This book also has an introduction that narrates the life of the author, Jesse Stuart.I think this book is really good because it takes you on a trip through time and into a world of adventure. My favorite story was Snake Teeth because it has a lot of cliffhangers and adventure. I would recommend this book for 9 yrs.-adults because normally after 9 years o",positive,2025-02-01 02:00:00
"A movie that makes you feel a lot better about the holidays. Although not a childish movie, Eight Crazy Nights is a fantastic Sandler movie.",positive,2025-02-01 03:00:00
"originally i would give this horrible dipiction of The Odyssey 1 star, but because of one of the last scenes where ugly t(telemachus) threw two spears at once, i give it two stars. Everything was horrible to my opinion. The accents kept changing everything. If you read the book before you watched the movie, you would thinkt hat this was all a joke. So if anything just read the book by itself. So two stars for two stars thrown by ugly T",negative,2025-02-01 04:00:00
"I wouldnt call this a literary masterpiece or the best book that I have ever read, but I found it to be one of the most demanding--that I go back to it and finish as soon as possible!It's one of those literary candy novels that you can't put down. You will be up at night trying to find out who is sleeping with whom and killing whom next...The amount of sex in the book (without too much graphic detail) is numbing afterwards. It's almost as mundane as brushing one's teeth, after reading hundreds o",positive,2025-02-01 05:00:00
"As a long-time Douglas Adams fanatic (read all 5 of the trilogy, at least a dozen time, even wrote down every noun in all 5 for a database,) I read both Last Chance to See and DGHDA and loved them. Then I read this sequel and had to admit that it was likely the worst book I'd ever encountered. I didn't laugh once and literally had to force myself through it with several lapses between readings. Odin and Thor bored me senseless. I can now understand why there's been no third addition to the serie",negative,2025-02-01 05:00:00
"This book is a classic. No question. That's why I chose to read it. When it came out in the 1860s, it was science fiction and gripped the imaginations of many. A ship that could travel under the water! But reading it in 2010, much of the novelty of the book has been realized. We have had submarines for nearly a century.But even aside from that, there is little plot to the novel. It reads as if it were written by a committee at National Geographic. It's a survey of all the unique items and places",negative,2025-02-01 06:00:00
a movie that sneaks up on you. not a big budget. but an excellent film.and i like excellent films.,positive,2025-02-01 07:00:00
"The other 1-star poster is absolutely correct; these things are crap. I ordered two of them for both my kids and neither worked at all. The rockets didn't seal on the pump so no pressure could be pumped into them, thus making them useless. I had high hopes for this toy because of my love for it when I was younger. As always, the quality of these ""nostalgic"" toys leave much to be desired (I'm looking at you, Evel Knievel Dare Devil Stunt Set!). The price is cheap, but the quality is cheaper.",negative,2025-02-01 07:00:00
"I can still remember the force with which the first two or three paragraphs hit me, reading them in a bookstore in Albuquerque. Inventive, humane, human, magical.",positive,2025-02-01 08:00:00
